"","X2017.12","X2018.12","X2019.12"
"매출액",191,576,148
"매출원가",187,563,139
"매출총이익",4,13,9
"판매비와관리비",47,56,68
"인건비",20,27,24
"유무형자산상각비",2,3,2
"연구개발비",NA,NA,NA
"광고선전비",0,NA,NA
"판매비",4,6,25
"관리비",21,20,18
"기타원가성비용",NA,NA,NA
"기타",0,0,0
"영업이익",-43,-43,-60
"영업이익(발표기준)",-43,-43,-60
"금융수익",3,5,3
"이자수익",3,1,2
"배당금수익",NA,NA,NA
"외환이익",0,2,0
"대손충당금환입액",NA,NA,NA
"매출채권처분이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련이익",NA,NA,NA
"금융자산처분이익",NA,NA,NA
"금융자산평가이익",0,0,NA
"금융자산손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"기타금융수익",NA,2,0
"금융원가",20,30,36
"이자비용",19,27,33
"외환손실",0,3,1
"대손상각비",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산관련손실",NA,NA,NA
"매출채권처분손실",NA,NA,NA
"금융자산처분손실",NA,0,NA
"금융자산평가손실",NA,0,NA
"금융자산손상차손",NA,NA,NA
"파생상품손실",0,NA,NA
"기타금융원가",NA,0,2
"기타수익",0,5,13
"재고자산감모손실환입",NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가이익",NA,NA,NA
"자산처분(폐기)이익",NA,NA,0
"자산평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"임대료수익",NA,0,0
"로열티수익",NA,NA,NA
"수수료수익",NA,NA,NA
"대손충당금환입",NA,NA,11
"충당부채환입액",NA,NA,NA
"기타비용",6,152,125
"재고자산감모손실",NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA
"당기손익-공정가치측정<U+00A0>금융자산평가손실",NA,NA,NA
"자산처분(폐기)손실",NA,0,14
"자산평가손실",NA,NA,NA
"자산손상차손",5,79,8
"기타대손상각비",0,58,90
"충당부채전입액",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA,NA
"지분법손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA
"세전계속사업이익",-66,-214,-204
"법인세비용",-10,-9,NA
"계속영업이익",-56,-205,-204
"중단영업이익",-11,-9,-2
"당기순이익",-67,-213,-206
"지배주주순이익",-67,-213,-206
"비지배주주순이익",NA,NA,NA
"자산",524,662,544
"유동자산",393,527,353
"재고자산",31,21,11
"유동생물자산",NA,NA,NA
"유동금융자산",31,60,75
"매출채권및기타유동채권",78,127,5
"당기법인세자산",1,0,0
"계약자산",NA,NA,NA
"반품(환불)자산",NA,NA,NA
"배출권",NA,NA,NA
"기타유동자산",3,85,25
"현금및현금성자산",3,4,3
"매각예정비유동자산및처분자산집단",247,230,235
"비유동자산",131,135,191
"유형자산",28,30,29
"무형자산",71,0,12
"비유동생물자산",NA,NA,NA
"투자부동산",NA,78,73
"장기금융자산",17,NA,NA
"관계기업등지분관련투자자산",NA,12,65
"장기매출채권및기타비유동채권",15,14,12
"이연법인세자산",NA,NA,NA
"장기당기법인세자산",NA,NA,NA
"기타비유동자산",NA,NA,NA
"기타금융업자산",NA,NA,NA
"부채",341,427,375
"유동부채",337,400,351
"단기사채",74,129,135
"단기차입금",174,231,172
"유동성장기부채",1,0,0
"유동금융부채",2,0,2
"매입채무및기타유동채무",85,38,34
"유동종업원급여충당부채",0,1,0
"기타단기충당부채",NA,NA,NA
"당기법인세부채",NA,NA,NA
"계약부채",NA,NA,NA
"반품(환불)부채",NA,NA,NA
"배출부채",NA,NA,NA
"기타유동부채",2,1,7
"매각예정으로분류된처분자산집단에포함된부채",NA,NA,NA
"비유동부채",3,27,24
"사채",NA,NA,NA
"장기차입금",1,1,NA
"비유동금융부채",NA,NA,0
"장기매입채무및기타비유동채무",0,24,23
"비유동종업원급여충당부채",1,2,1
"기타장기충당부채",NA,NA,NA
"이연법인세부채",1,NA,NA
"장기당기법인세부채",NA,NA,NA
"기타비유동부채",NA,NA,NA
"기타금융업부채",NA,NA,NA
"자본",183,234,169
"지배기업주주지분",183,234,169
"자본금",104,154,225
"신종자본증권",NA,NA,NA
"자본잉여금",655,870,940
"기타자본",-20,-20,-20
"기타포괄손익누계액",5,5,5
"이익잉여금(결손금)",-561,-775,-981
"비지배주주지분",NA,NA,NA
"영업활동으로인한현금흐름",-18,-135,84
"당기순손익",-67,-213,-206
"법인세비용차감전계속사업이익",NA,NA,NA
"현금유출이없는비용등가산",21,183,176
"퇴직급여",1,2,1
"종업원급여",NA,0,NA
"주식보상비",NA,NA,NA
"감가상각비",1,1,2
"무형자산상각비",1,1,0
"계약부채전입액",NA,NA,NA
"반품(환불)부채전입액",NA,NA,NA
"배출부채전입액",NA,NA,NA
"기타의대손상각비",0,58,90
"배당금지급",NA,NA,NA
"금융부채관련손실",NA,0,2
"사채상환손실",NA,NA,NA
"투자자산평가손실",NA,NA,NA
"자산재평가손실",NA,NA,NA
"지분법관련손실",NA,1,10
"종속기업관련손실",NA,9,0
"관계기업관련손익",NA,NA,NA
"(현금유입이없는수익등차감)",13,13,14
"금융부채관련이익",NA,2,NA
"사채상환이익",NA,NA,0
"퇴직급여충당부채환입액",NA,NA,NA
"계약부채환입액",NA,NA,NA
"반품(환불)부채환입액",NA,NA,NA
"배출부채환입액",NA,NA,NA
"주식보상비환입",NA,NA,NA
"투자자산평가이익",NA,NA,NA
"자산재평가이익",NA,NA,NA
"지분법관련이익",NA,NA,NA
"종속회사관련이익",NA,NA,NA
"법인세수익",10,9,NA
"영업활동으로인한자산부채변동(운전자본변동)",58,-82,136
"자산의감소(증가)",-117,-41,179
"부채의증가(감소)",174,-41,-43
"정부보조금등의변동",NA,NA,NA
"기타운전자본의변동",NA,NA,0
"*영업에서창출된현금흐름",0,-126,93
"기타영업활동으로인한현금흐름",-18,-10,-9
"이자수입",1,0,0
"이자지급(-)",-18,-11,-9
"배당금수입",NA,NA,NA
"배당금지급(-)",NA,NA,NA
"법인세환입",NA,1,NA
"법인세납부(-)",-1,NA,-1
"중단영업관련현금흐름",NA,NA,NA
"투자활동으로인한현금흐름",-5,-209,-74
"투자활동으로인한현금유입액",27,2,119
"유동금융자산의감소",NA,0,50
"장기금융상품의감소",NA,NA,NA
"매도가능금융자산의감소",NA,NA,NA
"만기보유금융자산의감소",NA,NA,NA
"장기대여금의감소",NA,NA,NA
"파생상품의변동",NA,NA,NA
"기타비유동금융자산의감소",NA,NA,NA
"관계기업등지분관련투자자산의감소",NA,NA,NA
"유형자산의감소",NA,NA,64
"무형자산의감소",NA,NA,NA
"생물자산의감소",NA,NA,NA
"투자부동산의감소",NA,NA,NA
"기타투자활동으로인한현금유입액",27,2,6
"(투자활동으로인한현금유출액)",33,211,193
"유동금융자산의증가",11,84,73
"장기금융상품의증가",NA,NA,NA
"매도가능금융자산의증가",NA,NA,NA
"만기보유금융자산의증가",NA,NA,NA
"장기대여금의증가",NA,NA,NA
"기타비유동금융자산의증가",NA,NA,NA
"관계기업등지분관련투자자산의증가",8,9,17
"유형자산의증가",0,3,64
"무형자산의증가",NA,NA,11
"생물자산의증가",NA,NA,NA
"투자부동산의증가",NA,NA,NA
"기타투자활동으로인한현금유출액",14,115,28
"기타투자활동으로인한현금흐름",NA,NA,NA
"재무활동으로인한현금흐름",26,345,-10
"재무활동으로인한현금유입액",128,978,388
"사채의증가",90,200,59
"차입금의증가",NA,669,320
"미지급금의증가",NA,NA,NA
"유동성장기부채의증가",NA,NA,NA
"기타금융부채의증가",NA,NA,NA
"기타부채의증가",NA,NA,NA
"유상증자",38,110,10
"자기주식의처분",NA,NA,NA
"주식매입선택권의행사",NA,NA,NA
"자본구성항목의증가",NA,NA,NA
"기타재무활동으로인한현금유입액",NA,NA,NA
"(재무활동으로인한현금유출액)",102,633,399
"사채의감소",50,20,20
"차입금의감소",40,612,378
"미지급금의감소",NA,NA,NA
"유동성장기부채의감소",11,0,1
"기타금융부채의감소",NA,NA,NA
"기타부채의감소",NA,NA,NA
"유상감자",NA,NA,NA
"자기주식의취득",NA,NA,NA
"자본구성항목의감소",NA,NA,NA
"기타재무활동으로인한현금유출액",NA,NA,NA
"기타재무활동으로인한현금흐름",NA,NA,NA
"영업투자재무활동기타현금흐름",NA,NA,NA
"연결범위변동으로인한현금의증가",NA,NA,NA
"환율변동효과",NA,NA,NA
"현금및현금성자산의증가",3,1,0
"기초현금및현금성자산",0,3,4
"기말현금및현금성자산",3,4,3
